Empresa;Precio Actual;Precio Objetivo;PER Promedio;EPS Promedio;Diff
IRM;97,94000244;88,33771709;90,50222873;1,148333333;
ISRG;561,4299927;273,2047033;74,95739224;4,288;
IT;446,9500122;344,6242948;33,71645296;12,025;
ITT;149,4100037;98,58766681;23,64637928;4,905;-34%
ITW;250,3099976;212,1267305;24,88557681;10,02833333;-15%
J;127,5100021;99,33031705;22,4297882;5,21;-22%
JBHT;148,7200012;158,0436161;26,06478513;7,13352;6%
JBL;161,7400055;72,28520364;12,53189155;6,786;-55%
JCI;95,27999878;52,97210575;25,75059945;2,420142667;-44%
JEF;54,04999924;54,19520977;16,01182077;3,982;0%
JHG;38,31000137;31,94804633;13,30731817;2,824456167;-17%
JKHY;181,6600037;143,9947691;34,58978663;4,8975616;
JLL;240,5200043;229,1491764;20,46462042;13,17333333;-5%
JNJ;154,1399994;150,013648;21,60738345;8,167886;-3%
JNPR;36,58000183;31,22928938;38,33774655;0,958333333;
JPM;260,0499878;155,9487758;11,15200981;16,45166667;-40%
K;82,30000305;59,44606606;18,94443747;3,691666667;-28%
KDP;33,50999832;30,03210631;27,424494;1,288333333;-10%
KEYS;162,6300049;136,4136308;29,42009613;5,455;-16%
KHC;28,14999962;37,36227366;25,2135465;1,743333333;33%
KIM;21,56999969;34,85064929;44,72810605;0,916666667;
KLAC;760,4699707;427,3509537;24,04887725;20,906;-44%
KMB;136,6699982;117,258174;22,44927469;6,145;-14%
KMI;27,30999947;17,51158525;20,33078783;1,013333333;-36%
KMX;69,05999756;84,63622356;21,42101708;4,648333333;23%
KNSL;456,8099976;299,1901428;30,32639891;11,60666667;-35%
KNX;46,72000122;88,52106735;37,82412791;2,753333333;
KO;69,52999878;51,89389715;25,90593085;2,356666667;-25%
KR;69,04000092;37,80199419;15,78920746;2,816666667;-45%
KRC;32,38000107;47,62678057;18,57398007;3,016666667;47%
L;89,26999664;60,41226161;12,33553641;5,761666667;-32%
LAD;321,7900085;267,2471148;8,83000466;35,60681817;-17%
LAMR;118,5999985;98,44448417;29,05109704;3,986666667;-17%
LBRDA;92,23999786;102,6563165;22,07900128;5,47;11%
LBRDK;93,43000031;102,983434;22,14935669;5,47;10%
LDOS;156,0899963;135,3089203;26,64216988;5,975;-13%
LEA;94,83999634;127,2623099;19,09415809;7,841160833;34%
LECO;194,8899994;148,856855;24,19977592;7,236666667;-24%
LEN;112,5500031;100,5939637;8,179834092;14,468;-11%
LFUS;217,7200012;282,8496498;35,21936432;9,448333333;
LH;250,9400024;273,0288521;22,45441553;14,305;9%
LHX;218,9600067;184,4588119;28,20147718;7,695;-16%
LII;595,7299805;353,0513186;24,72102921;16,80166667;-41%
LIN;454,4200134;334,083483;37,30206186;10,53666667;
LKQ;42;41,3655861;14,39804598;3,38;-2%
LLY;755,5700073;435,5181297;64,55131145;7,937472667;
LMT;473,1600037;372,7027785;18,80920242;23,31166667;-21%
LNT;59,52000046;49,22190482;21,51385387;2,691666667;-17%
LNW;86,12999725;166,0683849;20,99672977;9,305;93%
LOPE;195,7299957;102,8561194;18,1510799;6,666666667;-47%
LOW;232,7799988;198,2357011;19,8435554;11,75285714;-15%
